S. No,Critical Sector Entity Name,Corresponding CSE Domain Name,Identified Phishing/Suspected Domain Name,Phishing/Suspected Domains (i.e. Class Label),Evidence file name,Source of detection,Simulated_URL,Levenshtein_Ratio,Length_Difference,Domain_Age_Days,URL_Length,Num_Slashes,Num_Underscores,Num_Question_Marks,Num_Equal_Signs,Special_Chars_Count,Path_Length,Has_Query,Num_Subdomains,Domain_Length,Num_Dots,Num_Hyphens,Label
1,Airtel,airtel.in,airtel-merchants.in,Phishing,airtel-merchants.in.pdf,,https://airtel-merchants.in,0.5454545454545454,10.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,2
2,Airtel,airtel.in,airtelrecharge.co.in,Phishing,airtelrecharge.co.in.pdf,,https://airtelrecharge.co.in,0.6,8.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,2
3,Airtel,airtel.in,airtelmerchant.in,Phishing,airtelmerchant.in.pdf,,https://airtelmerchant.in,0.6,8.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2
4,Airtel,airtel.in,airtelinternetserviceprovider.co.in,Phishing,airtelinternetserviceprovider.co.in.pdf,,https://airtelinternetserviceprovider.co.in,0.34285714285714286,23.0,13.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,2.0,0.0,2
5,Airtel,airtel.in,airtelpoint.top,Phishing,airtelpoint.top.pdf,,https://airtelpoint.top,0.7058823529411765,5.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2
6,Airtel,airtel.in,airtela.sbs,Phishing,airtela.sbs.pdf,,https://airtela.sbs,0.9230769230769231,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,2
7,Airtel,airtel.in,airtelairfiberkarnataka.xyz,Phishing,airtelairfiberkarnataka.xyz.pdf,,https://airtelairfiberkarnataka.xyz,0.41379310344827586,17.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,2
8,Airtel,airtel.in,airtelbroadbandbangalore.xyz,Phishing,airtelbroadbandbangalore.xyz.pdf,,https://airtelbroadbandbangalore.xyz,0.4,18.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,2
9,Airtel,airtel.in,airteldthconnectionbengaluru.xyz,Phishing,airteldthconnectionbengaluru.xyz.pdf,,https://airteldthconnectionbengaluru.xyz,0.35294117647058826,22.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,2
10,Airtel,airtel.in,airtelwificonnectiontumakuru.xyz,Phishing,airtelwificonnectiontumakuru.xyz.pdf,,https://airtelwificonnectiontumakuru.xyz,0.35294117647058826,22.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,2
